shoe_id,name,brand,player,release_date,description,shoe_type,retail_price
262,Jordan CP3 12,Jordan,Chris Paul,2019-06-01,"Perfect shoe if you are looking for an affordable, top-tier performer, that you can play outdoors too",Low Top,99.99
263,Nike Kyrie Low 2,Nike,Kyrie Irving,2019-06-01,Works best for narrow-footers looking for a good allrounder with responsive cushioning,Low Top,109.99
264,Nike Mamba Focus,Nike,Kobe Bryant,2019-04-01,An affordable shoe for playing outdoors,Low Top,99.99
265,Nike KD 12,Nike,Kevin Durant,2019-04-01,A well-balanced shoe that works for a wide array of basketball players,Mid Top,149.99
266,Adidas Pro Bounce Madness,Adidas,,2019-03-01,Works for all playing styles and positions,High Top,119.99
267,Nike PG 3,Nike,Paul George,2019-02-01,Versatile shoe that works for all positions,Low Top,109.99
268,Adidas Dame 5,Adidas,Damian Lillard,2019-02-01,The Dame 5 works best for quick guards who prefer responsive cushioning,Mid Top,114.99
269,Under Armour Anatomix Spawn Low,Under Armour,,2019-02-01,Perfect for quick point guards who want to be able to stop on a dime,Low Top,109.99
270,Nike Kobe 4 Protro,Nike,Kobe Bryant,2019-02-01,A very versatile shoe that will be most appreciated by players who had the OG Kobe 4,Low Top,174.99
271,Puma Uproar,Puma,,2019-02-01,Worn by players of all positions in the NBA,Low Top,129.99
272,Nike Adapt BB,Nike,,2019-02-01,A must-have for sneakerheads who are into innovative tech!,Low Top,349.99
273,Under Armour Curry 6,Under Armour,Stephen Curry,2019-01-01,"Perfect for quick guards looking for a supportive, lightweight shoe with great court feel",Low Top,129.99
274,Jordan Why Not Zero.2,Jordan,Russell Westbrook,2019-01-01,Works best for explosive players looking for a supportive shoe,Mid Top,119.99
275,Nike Kyrie Flytrap 2,Nike,Kyrie Irving,2019-01-01,Perfect for light and quick players who don't need a lot of impact protection,Low Top,79.99
276,Li-Ning Way of Wade 7,Li-Ning,Dwyane Wade,2018-12-01,Perfect for Dwyane Wade fans who play on clean courts,Low Top,164.99
277,Adidas Marquee Boost,Adidas,,2018-12-01,Works for a wide array of basketball players,Mid Top,129.99
278,Adidas N3XT L3V3L,Adidas,,2018-12-01,"Works well for explosive players looking for a light shoe with a well-balanced, responsive cushioning setup",High Top,179.99
279,Adidas T-Mac Millenium,Adidas,Tracy McGrady,2018-12-01,Perfect for T-Mac fans looking for a good all-around performer,Low Top,159.99
280,Adidas Pro Vision,Adidas,,2018-12-01,Best for price-conscious hoopers that play on clean courts only,Mid Top,99.99
281,Nike Kyrie 5,Nike,Kyrie Irving,2018-11-01,Works best for quick guards who prefer court feel over impact protection,High Top,129.99
282,Puma Clyde Court Disrupt,Puma,,2018-10-01,"Great shoe if you are tired of Nike, Jordan, and Adidas",Mid Top,120.0
283,Air Jordan 33,Jordan,Michael Jordan,2018-10-01,Perfect if you are into innovative tech and can afford the steep price,High Top,174.99
284,Adidas Harden Vol. 3,Adidas,James Harden,2018-10-01,Perfect for players of all positions who value court feel and freedom of movement,Low Top,139.99
285,ANTA KT 4,ANTA,Klay Thompson,2018-10-01,Best for players who enjoy knitted uppers and soft cushioning,High Top,124.99
286,Nike Lebron 16,Nike,Lebron James,2018-09-01,Especially recommended for explosive and powerful wing players.,Mid Top,184.99
287,Adidas Pro Bounce Low,Adidas,,2018-09-01,Great bang for the buck and should work well for positions 1-4.,Low Top,109.99
288,Jordan Jumpman Hustle,Jordan,,2018-09-01,Great all-around performer at a very fair price!,Low Top,109.99
289,Nike KD 11,Nike,Kevin Durant,2018-08-01,Works best as a casual sneaker but doesn't perform very well on a basketball court.,Mid Top,149.99
290,Nike Kobe AD Exodus,Nike,Kobe Bryant,2018-08-01,Especially recommended for quicker guards,Low Top,139.99
291,Under Armour Curry 3Zero 2,Under Armour,Stephen Curry,2018-08-01,Solid performer at an affordable price,High Top,99.99
292,Under Armour HOVR Havoc Low,Under Armour,,2018-08-01,Works best for quick guards in need of excellent traction,Low Top,104.99
293,Jordan Super.Fly MVP L,Jordan,,2018-08-01,Works best for big guys who post up a lot,High Top,139.99
