store_id,shoe_id,price,link
1,30,179.99,https://footlocker.8s4u9r.net/c/1960210/793097/11068?prodsku=Q021300610.5&u=https%3A%2F%2Fwww.footlocker.com%2Fproduct%2F%7E%2FQ0213006.html&intsrc=CATF_5700&subid1=price_comp_price
5,30,180.0,https://kickscrew.sjv.io/c/1960210/1614983/12943?prodsku=FQ0213-106-90&u=https%3A%2F%2Fwww.kickscrew.com%2Fproducts%2Fair-jordan-39-sol-fq0213-106%3Fcurrency%3DUSD%26variant%3D43789389234371&intsrc=CATF_11961&subid1=price_comp_price
8,31,110.0,https://adidas.njih.net/c/1960210/376195/4270?c=affiliate_2021&af_reengagement_window=30d&af_channel=affiliates&pid=impactradius_int&is_retargeting=true&af_siteid=%7Birpid%7D&prodsku=JS1775_530&u=http%3A%2F%2Fwww.adidas.com%2Fus%2Fanthony-edwards-1-low-shoes%2FJS1775.html&intsrc=CATF_2425&subid1=price_comp_price
1,31,110.0,https://footlocker.8s4u9r.net/c/1960210/793097/11068?prodsku=40664108&u=https%3A%2F%2Fwww.footlocker.com%2Fproduct%2F%7E%2F4066410.html&intsrc=CATF_5700&subid1=price_comp_price
7,31,110.0,https://champssports.4xc4ep.net/c/1960210/793143/11069?prodsku=40664108&u=https%3A%2F%2Fwww.champssports.com%2Fproduct%2F%7E%2F4066410.html&intsrc=CATF_5705&subid1=price_comp_price
1,32,79.99,https://footlocker.8s4u9r.net/c/1960210/793097/11068?prodsku=F779260110&u=https%3A%2F%2Fwww.footlocker.com%2Fproduct%2F%7E%2FF7792601.html&intsrc=CATF_5700&subid1=price_comp_price
7,32,124.99,https://champssports.4xc4ep.net/c/1960210/793143/11069?prodsku=J779250010&u=https%3A%2F%2Fwww.champssports.com%2Fproduct%2F%7E%2FJ7792500.html&intsrc=CATF_5705&subid1=price_comp_price
2,32,140.0,https://click.linksynergy.com/link?id=3uzGB/qlQhQ&offerid=943383.377313731998&type=15&murl=https%3A%2F%2Fwww.finishline.com%2Fstore%2Fbrowse%2FproductDetail.jsp%3FproductId%3Dprod2869954%26brand_name%3DNIKE%26styleId%3DFJ7792%26colorId%3D601%26exp%3Dold&u1=price_comp_price
6,33,61.97,https://www.anrdoezrs.net/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Funder-armour-curry-12-basketball-shoes-24uaracrry12xtrtrmns%2F24uaracrry12xtrtrmns%3Fsku%3D26095272&subid1=price_comp_price
9,33,90.0,https://www.awin1.com/pclick.php?p=41802632725&a=707873&m=15431&clickref=price_comp_price
7,33,124.99,https://champssports.4xc4ep.net/c/1960210/793143/11069?prodsku=2849828010&u=https%3A%2F%2Fwww.champssports.com%2Fproduct%2F%7E%2F28498280.html&intsrc=CATF_5705&subid1=price_comp_price
5,34,61.0,https://kickscrew.sjv.io/c/1960210/1614983/12943?prodsku=ABAU029-1-65&u=https%3A%2F%2Fwww.kickscrew.com%2Fproducts%2Fli-ning-wade-all-city-12-encore-white-abau029-1%3Fcurrency%3DUSD%26variant%3D43823975497923&intsrc=CATF_11961&subid1=price_comp_price
4,35,119.0,https://www.dpbolvw.net/click-8756460-15266129?url=https%3A%2F%2Fwayofwade.com%2Fproducts%2Fwade-ice-blood-2-wade-x-adam-lister%3Fvariant%3D45569906475223&sid=price_comp_price
5,35,57.0,https://kickscrew.sjv.io/c/1960210/1614983/12943?prodsku=ABPU017-2-80&u=https%3A%2F%2Fwww.kickscrew.com%2Fproducts%2Fli-ning-wade-dlo-ice-blood-2-reflective-ice-cool-blue-abpu017-2%3Fcurrency%3DUSD%26variant%3D43824154804419&intsrc=CATF_11961&subid1=price_comp_price
